date,day,nominations_close,options,scratchings_close,status,time_slot,track,url
13/03/2018,Tuesday,08/03/2018 12:00:00 PM,,13/03/2018 08:30:00 AM,Results Finalised,Night,Cranbourne,https://fasttrack.grv.org.au/Meeting/Details/282809495
13/03/2018,Tuesday,08/03/2018 11:00:00 AM,,13/03/2018 08:30:00 AM,Results Finalised,Twilight,Geelong,https://fasttrack.grv.org.au/Meeting/Details/287828508
14/03/2018,Wednesday,09/03/2018 11:00:00 AM,,14/03/2018 08:30:00 AM,Results Finalised,Night,Cranbourne,https://fasttrack.grv.org.au/Meeting/Details/228694093
14/03/2018,Wednesday,09/03/2018 09:00:00 AM,,13/03/2018 04:00:00 PM,Results Finalised,Day,Meadows (MEP),https://fasttrack.grv.org.au/Meeting/Details/228694094
14/03/2018,Wednesday,09/03/2018 11:00:00 AM,,14/03/2018 08:30:00 AM,Results Finalised,Night,Ballarat,https://fasttrack.grv.org.au/Meeting/Details/228694152
14/03/2018,Wednesday,09/03/2018 10:00:00 AM,,14/03/2018 08:30:00 AM,Results Finalised,Twilight,Bendigo,https://fasttrack.grv.org.au/Meeting/Details/288100052
15/03/2018,Thursday,13/03/2018 08:00:00 AM,,15/03/2018 08:30:00 AM,Results Finalised,Twilight,Shepparton,https://fasttrack.grv.org.au/Meeting/Details/228694096
15/03/2018,Thursday,13/03/2018 09:00:00 AM,,15/03/2018 08:30:00 AM,Results Finalised,Night,Sandown Park,https://fasttrack.grv.org.au/Meeting/Details/228694097
15/03/2018,Thursday,13/03/2018 09:00:00 AM,,15/03/2018 08:30:00 AM,Results Finalised,Night,Warrnambool,https://fasttrack.grv.org.au/Meeting/Details/228694098
01/02/2018,Thursday,29/01/2018 11:00:00 AM,,01/02/2018 08:30:00 AM,Results Finalised,Twilight,Shepparton,https://fasttrack.grv.org.au/Meeting/Details/228693977
01/02/2018,Thursday,30/01/2018 08:00:00 AM,,01/02/2018 08:30:00 AM,Results Finalised,Night,Sandown Park,https://fasttrack.grv.org.au/Meeting/Details/228693978
01/02/2018,Thursday,29/01/2018 12:00:00 PM,,01/02/2018 08:30:00 AM,Results Finalised,Night,Warrnambool,https://fasttrack.grv.org.au/Meeting/Details/228693979
01/02/2018,Thursday,29/01/2018 10:00:00 AM,,31/01/2018 04:00:00 PM,Results Finalised,Day,Warragul,https://fasttrack.grv.org.au/Meeting/Details/228694056
02/02/2018,Friday,30/01/2018 10:00:00 AM,,02/02/2018 08:30:00 AM,Results Finalised,Night,Traralgon,https://fasttrack.grv.org.au/Meeting/Details/228693980
02/02/2018,Friday,30/01/2018 09:00:00 AM,,02/02/2018 08:30:00 AM,Results Finalised,Twilight,Bendigo,https://fasttrack.grv.org.au/Meeting/Details/228693981
